Hello ! :D My
! :D My name
:D My name is
My name is Abhishek.

I am currently studying
am currently studying in
currently studying in COEP
studying in COEP .

I live in Hostel.
live in Hostel. XD

You can find me
can find me on
find me on www.github.com.

This is my github
is my github username
my github username @Abhishek-Kuvalekar
github username @Abhishek-Kuvalekar .
username @Abhishek-Kuvalekar . You
@Abhishek-Kuvalekar . You can
. You can reach
You can reach out
can reach out to
reach out to me
out to me on
to me on abhi.kuvalekar@gmail.com

Today 's date is
's date is CF:D:2018-08-17
date is CF:D:2018-08-17 .
is CF:D:2018-08-17 . It
CF:D:2018-08-17 . It also
. It also can
It also can be
also can be written
can be written as
be written as CF:D:2018-08-17
written as CF:D:2018-08-17 or
as CF:D:2018-08-17 or CF:D:2018-08-17
CF:D:2018-08-17 or CF:D:2018-08-17 or
or CF:D:2018-08-17 or CF:D:2018-08-17
CF:D:2018-08-17 or CF:D:2018-08-17 .

I am writing this
am writing this on
writing this on CF:T:2310:IST
this on CF:T:2310:IST .
on CF:T:2310:IST . Which
CF:T:2310:IST . Which is
. Which is equivalent
Which is equivalent to
is equivalent to CF:T:2310:IST
equivalent to CF:T:2310:IST .

I started this today
started this today at
this today at CF:T:1100
today at CF:T:1100 in
at CF:T:1100 in the
CF:T:1100 in the morning
in the morning .

Pune - Bangalore highway
- Bangalore highway is
Bangalore highway is the
highway is the best
is the best highway
the best highway to
best highway to travel
highway to travel .

Lots of US -based
of US -based companies
US -based companies are
-based companies are visiting
companies are visiting our
are visiting our campus
visiting our campus .

I had done a
had done a lot
done a lot to
a lot to complete
lot to complete this
to complete this assignment
complete this assignment .

I shall write a
shall write a short
write a short writeup
a short writeup after
short writeup after this
writeup after this .

He has done enough
has done enough .

" I have spent
I have spent a
have spent a lot
spent a lot of
a lot of dough
lot of dough "
of dough " ,
dough " , thought
" , thought Holden
, thought Holden Caufield.

Above line is from
line is from a
is from a famous
from a famous book
a famous book A
famous book A Catcher
book A Catcher In
A Catcher In the
Catcher In the Rye
In the Rye written
the Rye written by
Rye written by J.D.Salinger.

U.S.A. is being dominant
is being dominant .

Well it is working
it is working .

But this is not
this is not perfect
is not perfect .

I can not handle
can not handle every
not handle every case
handle every case at
every case at this
case at this stage
at this stage .

But I have handled
I have handled most
have handled most of
handled most of the
most of the cases
of the cases .
the cases . Let
cases . Let us
. Let us hope
Let us hope for
us hope for the
hope for the best
for the best .

I

I am

I am here

I am here boy

