Tag   Precision  Recall     F-Measure 
PRP   1.00       1.00       1.00      
VBP   1.00       1.00       1.00      
DT    1.00       1.00       1.00      
NN    1.00       1.00       1.00      
IN    1.00       1.00       1.00      
NNS   1.00       0.80       0.89      
TO    1.00       0.90       0.95      
.     0.00       0.00       0.00      
RB    1.00       0.67       0.80      
VBD   0.00       0.00       0.00      
VBG   1.00       1.00       1.00      
VB    1.00       1.00       1.00      
PRP$  1.00       1.00       1.00      
JJ    1.00       1.00       1.00      
UH    0.00       0.00       0.00      
,     1.00       1.00       1.00      
WRB   1.00       1.00       1.00      
VBZ   1.00       1.00       1.00      
PDT   1.00       1.00       1.00      
NNP   0.50       1.00       0.67      
CC    1.00       1.00       1.00      
